county,date,order_closure,order_gath,order_lab,order_masks,order_quarres,order_quarvis,order_shome,order_bubble
Alameda,2020-05-06,6,10,2,6,8,0,10,0
Alameda,2020-05-07,6,10,2,6,8,0,10,0
Alameda,2020-05-08,6,10,2,6,8,0,10,0
Alameda,2020-05-09,6,10,2,6,8,0,10,0
Alameda,2020-05-10,6,10,2,6,8,0,10,0
Alameda,2020-05-11,6,10,2,6,8,0,10,0
Alameda,2020-05-12,6,10,2,6,8,0,10,0
Alameda,2020-05-13,6,10,2,6,8,0,10,0
Alameda,2020-05-14,6,10,2,6,8,0,10,0
Alameda,2020-05-15,6,10,2,6,8,0,10,0
Alameda,2020-05-16,6,10,2,6,8,0,10,0
Alameda,2020-05-17,6,10,2,6,8,0,10,0
Alameda,2020-05-18,5,,2,6,8,0,0,0
Alameda,2020-05-19,5,,2,6,8,0,0,0
Alameda,2020-05-20,5,,2,6,8,0,0,0
Alameda,2020-05-21,5,,2,6,8,0,0,0
Alameda,2020-05-22,5,,2,6,8,0,0,0
Alameda,2020-05-23,5,,2,6,8,0,0,0
Alameda,2020-05-24,5,,2,6,8,0,0,0
Alameda,2020-05-25,5,,2,6,8,0,0,0
Alameda,2020-05-26,5,,2,6,8,0,0,0
Alameda,2020-05-27,5,,2,6,8,0,0,0
Alameda,2020-05-28,5,,2,6,8,0,0,0
Alameda,2020-05-29,5,,2,6,8,0,0,0
Alameda,2020-05-30,5,,2,6,8,0,0,0
Alameda,2020-05-31,5,,2,6,8,0,0,0
Alameda,2020-06-01,5,,2,6,8,0,0,0
Alameda,2020-06-02,5,,2,6,8,0,0,0
Alameda,2020-06-03,5,,2,6,8,0,0,0
Alameda,2020-06-04,5,,2,6,8,0,0,0
Alameda,2020-06-05,5,,2,6,8,0,0,0
Alameda,2020-06-06,5,,2,6,8,0,0,0
Alameda,2020-06-07,5,,2,6,8,0,0,0
Alameda,2020-06-08,4,,2,7,8,0,0,0
Alameda,2020-06-09,4,,2,7,8,0,0,0
Alameda,2020-06-10,4,,2,7,8,0,0,0
Alameda,2020-06-11,4,,2,7,8,0,0,0
Alameda,2020-06-12,4,,2,7,8,0,0,0
Alameda,2020-06-13,4,,2,7,8,0,0,0
Alameda,2020-06-14,4,,2,7,8,0,0,0
Alameda,2020-06-15,4,,2,7,8,0,0,0
Alameda,2020-06-16,4,,2,7,8,0,0,0
Alameda,2020-06-17,4,,2,7,8,0,0,0
Alameda,2020-06-18,3,,2,7,8,0,0,0
Alameda,2020-06-19,3,,2,7,8,0,0,0
Alameda,2020-06-20,3,,2,7,8,0,0,0
Alameda,2020-06-21,3,,2,7,8,0,0,0
Alameda,2020-06-22,3,,2,7,8,0,0,0
Alameda,2020-06-23,3,,2,7,8,0,0,0
Alameda,2020-06-24,3,,2,7,8,0,0,0
Alameda,2020-06-25,3,,2,7,8,0,0,0
Alameda,2020-06-26,3,,2,7,8,0,0,0
Alameda,2020-06-27,3,,2,7,8,0,0,0
Alameda,2020-06-28,3,,2,7,8,0,0,0
Alameda,2020-06-29,3,,2,7,8,0,0,0
Alameda,2020-06-30,3,,2,7,8,0,0,0
Alameda,2020-07-01,3,,2,7,8,0,0,0
Alameda,2020-07-02,3,,2,7,8,0,0,0
Alameda,2020-07-03,3,,2,7,8,0,0,0
Alameda,2020-07-04,3,,2,7,8,0,0,0
Alameda,2020-07-05,3,,2,7,8,0,0,0
Alameda,2020-07-06,3,,2,7,8,0,0,0
Alameda,2020-07-07,3,,2,7,8,0,0,0
Alameda,2020-07-08,3,,2,7,8,0,0,0
Alameda,2020-07-09,1,,2,7,8,0,0,0
Alameda,2020-07-10,1,,2,7,8,0,0,0
Alameda,2020-07-11,1,,2,7,8,0,0,0
Alameda,2020-07-12,1,,2,7,8,0,0,0
Alameda,2020-07-13,3,,2,7,8,0,0,0
Alameda,2020-07-14,3,,2,7,8,0,0,0
Alameda,2020-07-15,6,,2,7,8,0,0,0
Alameda,2020-07-16,6,,2,7,8,0,0,0
Alameda,2020-07-17,7,,2,7,8,0,0,0
Alameda,2020-07-18,7,,2,7,8,0,0,0
Alameda,2020-07-19,6,,2,7,8,0,0,0
Alameda,2020-07-20,6,,2,7,8,0,0,0
Alameda,2020-07-21,6,,2,7,8,0,0,0
Alameda,2020-07-22,6,,2,7,8,0,0,0
Alameda,2020-07-23,6,,2,7,8,0,0,0
Alameda,2020-07-24,6,,2,7,8,0,0,0
Alameda,2020-07-25,6,,2,7,8,0,0,0
Alameda,2020-07-26,6,,2,7,8,0,0,0
Alameda,2020-07-27,6,,2,7,8,0,0,0
Alameda,2020-07-28,6,,2,7,8,0,0,0
Alameda,2020-07-29,6,,2,7,8,0,0,0
Alameda,2020-07-30,6,,2,7,8,0,0,0
Alameda,2020-07-31,6,,2,7,8,0,0,0
Alameda,2020-08-01,6,,2,7,8,0,0,0
Alameda,2020-08-02,6,,2,7,8,0,0,0
Alameda,2020-08-03,6,,2,7,8,0,0,0
Alameda,2020-08-04,6,,2,7,8,0,0,0
Alameda,2020-08-05,6,,2,7,8,0,0,0
Alameda,2020-08-06,6,,2,7,8,0,0,0
Alameda,2020-08-07,6,,2,7,8,0,0,0
Alameda,2020-08-08,6,,2,7,8,0,0,0
Alameda,2020-08-09,6,,2,7,8,0,0,0
Alameda,2020-08-10,6,,2,7,8,0,0,0
Alameda,2020-08-11,6,,2,7,8,0,0,0
Alameda,2020-08-12,6,,2,7,8,0,0,0
Alameda,2020-08-13,6,,2,7,8,0,0,0
Alameda,2020-08-14,6,,2,7,8,0,0,0
Alameda,2020-08-15,6,,2,7,8,0,0,0
Alameda,2020-08-16,6,,2,7,8,0,0,0
Alameda,2020-08-17,6,,2,7,8,0,0,0
Alameda,2020-08-18,6,,2,7,8,0,0,0
Alameda,2020-08-19,6,,2,7,8,0,0,0
Alameda,2020-08-20,6,,2,7,8,0,0,0
Alameda,2020-08-21,6,,2,7,8,0,0,0
Alameda,2020-08-22,6,,2,7,8,0,0,0
Alameda,2020-08-23,6,,2,7,8,0,0,0
Alameda,2020-08-24,6,,2,7,8,0,0,0
Alameda,2020-08-25,6,,2,7,8,0,0,0
Alameda,2020-08-26,6,,2,7,8,0,0,0
Alameda,2020-08-27,6,,2,7,8,0,0,0
Alameda,2020-08-28,6,,2,7,8,0,0,0
Alameda,2020-08-29,6,,2,7,8,0,0,0
Alameda,2020-08-30,6,,2,7,8,0,0,0
Alameda,2020-08-31,5,,2,7,8,0,0,0
Alameda,2020-09-01,5,,2,7,8,0,0,0
Alameda,2020-09-02,5,,2,7,8,0,0,0
Alameda,2020-09-03,5,,2,7,8,0,0,0
Alameda,2020-09-04,5,,2,7,8,0,0,0
Alameda,2020-09-05,5,,2,7,8,0,0,0
Alameda,2020-09-06,5,,2,7,8,0,0,0
Alameda,2020-09-07,5,,2,7,8,0,0,0
Alameda,2020-09-08,5,,2,7,8,0,0,0
Alameda,2020-09-09,5,,2,7,8,0,0,0
Alameda,2020-09-10,5,,2,7,8,0,0,0
Alameda,2020-09-11,5,,2,7,8,0,0,0
Alameda,2020-09-12,5,,2,7,8,0,0,0
Alameda,2020-09-13,5,,2,7,8,0,0,0
Alameda,2020-09-14,5,,2,7,8,0,0,0
Alameda,2020-09-15,5,,2,7,8,0,0,0
Alameda,2020-09-16,5,,2,7,8,0,0,0
Alameda,2020-09-17,5,,2,7,8,0,0,0
Alameda,2020-09-18,5,,2,7,8,0,0,0
Alameda,2020-09-19,5,,2,7,8,0,0,0
Alameda,2020-09-20,5,,2,7,8,0,0,0
Alameda,2020-09-21,5,,2,7,8,0,0,0
Alameda,2020-09-22,6,,2,7,8,0,0,0
Alameda,2020-09-23,6,,2,7,8,0,0,0
Alameda,2020-09-24,6,,2,7,8,0,0,0
Alameda,2020-09-25,4,,2,7,8,0,0,0
Alameda,2020-09-26,4,,2,7,8,0,0,0
Alameda,2020-09-27,4,,2,7,8,0,0,0
Alameda,2020-09-28,4,,2,7,8,0,0,0
Alameda,2020-09-29,4,,2,7,8,0,0,0
Alameda,2020-09-30,4,,2,7,8,0,0,0
Alameda,2020-10-01,4,,2,7,8,0,0,0
Alameda,2020-10-02,4,,2,7,8,0,0,0
Alameda,2020-10-03,4,,2,7,8,0,0,0
Alameda,2020-10-04,4,,2,7,8,0,0,0
Alameda,2020-10-05,4,,2,7,8,0,0,0
Alameda,2020-10-06,4,,2,7,8,0,0,0
Alameda,2020-10-07,4,,2,7,8,0,0,0
Alameda,2020-10-08,4,,2,7,8,0,0,0
Alameda,2020-10-09,4,,2,7,8,0,0,3
Alameda,2020-10-10,4,,2,7,8,0,0,3
Alameda,2020-10-11,4,,2,7,8,0,0,3
Alameda,2020-10-12,4,,2,7,8,0,0,3
Alameda,2020-10-13,4,,2,7,8,0,0,3
Alameda,2020-10-14,4,,2,7,8,0,0,3
Alameda,2020-10-15,4,,2,7,8,0,0,3
Alameda,2020-10-16,4,,2,7,8,0,0,3
Alameda,2020-10-17,4,,2,7,8,0,0,3
Alameda,2020-10-18,4,,2,7,8,0,0,3
Alameda,2020-10-19,4,,2,7,8,0,0,3
Alameda,2020-10-20,4,,2,7,8,0,0,3
Alameda,2020-10-21,4,,2,7,8,0,0,3
Alameda,2020-10-22,4,,2,7,8,0,0,3
Alameda,2020-10-23,3,,2,7,8,0,0,3
Alameda,2020-10-24,3,,2,7,8,0,0,3
Alameda,2020-10-25,3,,2,7,8,0,0,3
